id_cel,label,area,compacidade,excentricidade
1978,ASC-H,12944,0.0323,0.89
1979,ASC-H,2510,0.0576,0.78
1980,ASC-H,1761,0.0502,0.54
1981,ASC-H,23844,0.0118,0.47
1982,ASC-H,9728,0.0328,2.13
1983,ASC-H,17862,0.0172,0.85
1984,ASC-H,20407,0.0098,0.58
1985,ASC-H,28882,0.013,0.62
1986,ASC-H,26275,0.0139,0.24
1987,ASC-H,37144,0.0389,0.92
1988,ASC-H,32116,0.0294,0.73
1989,ASC-H,7672,0.0471,1.7
1990,ASC-H,9277,0.0457,2.25
1991,ASC-H,11843,0.0223,1.36
1992,ASC-H,21098,0.013,0.46
1993,ASC-H,9136,0.0322,1.28
1994,ASC-H,1572,0.0679,0.91
1995,ASC-H,8684,0.015,1.0
1996,ASC-H,3061,0.0555,1.3
1997,ASC-H,12604,0.0251,0.56
1998,ASC-H,11553,0.0169,1.12
1999,ASC-H,25848,0.0055,0.55
2000,ASC-H,24427,0.0226,0.32
2001,ASC-H,14841,0.0173,0.96
2002,ASC-H,5322,0.0275,2.21
2003,ASC-H,19056,0.0166,1.06
2004,ASC-H,18751,0.0123,1.04
2005,ASC-H,16801,0.0138,1.35
2006,ASC-H,12483,0.0176,0.72
2007,ASC-H,28786,0.0097,0.5
2008,ASC-H,34146,0.0274,0.39
2009,ASC-H,16353,0.0255,2.29
2010,ASC-H,17028,0.0243,1.1
2011,ASC-H,21029,0.0274,1.54
2012,ASC-H,2768,0.0564,1.86
2013,ASC-H,2074,0.0669,0.75
2014,ASC-H,6623,0.011,0.59
2015,ASC-H,13830,0.0141,0.81
2016,ASC-H,8770,0.0379,1.69
2017,ASC-H,8686,0.037,1.69
2018,ASC-H,15000,0.0253,1.99
2019,ASC-H,8957,0.0274,1.37
2020,ASC-H,24029,0.016,1.53
2021,ASC-H,2394,0.0418,0.78
2022,ASC-H,8976,0.0216,1.69
2023,ASC-H,7367,0.0179,1.77
2024,ASC-H,6384,0.025,1.84
2025,ASC-H,25057,0.0083,0.77
2092,ASC-H,2984,0.0657,0.87
2093,ASC-H,2835,0.0595,1.52
2094,ASC-H,8822,0.0382,0.92
2095,ASC-H,21321,0.0105,1.05
2096,ASC-H,16124,0.013,1.17
2097,ASC-H,7319,0.0281,2.38
2098,ASC-H,9297,0.0134,2.36
2099,ASC-H,18448,0.023,1.45
2100,ASC-H,23241,0.0128,0.87
2101,ASC-H,2419,0.0645,1.32
2102,ASC-H,2207,0.071,0.81
2103,ASC-H,34936,0.0153,0.71
2104,ASC-H,1778,0.0641,0.8
2105,ASC-H,6706,0.0348,1.43
2106,ASC-H,5354,0.0354,1.68
2107,ASC-H,12250,0.0244,0.45
2108,ASC-H,11091,0.0292,0.76
2109,ASC-H,14901,0.0209,0.77
2110,ASC-H,8221,0.018,1.05
27,ASC-H,14147,0.0144,1.64
28,ASC-H,8616,0.0201,0.93
29,ASC-H,9149,0.0171,0.94
30,ASC-H,18659,0.0122,1.26
31,ASC-H,27794,0.0145,1.01
32,ASC-H,10458,0.0171,1.17
33,ASC-H,19822,0.0112,0.97
34,ASC-H,2191,0.0511,1.54
36,ASC-H,1272,0.0312,2.39
38,ASC-H,5808,0.0231,6.09
39,ASC-H,14766,0.0268,0.6
40,ASC-H,13475,0.0074,0.48
634,ASC-H,2606,0.0626,1.14
635,ASC-H,14357,0.0287,0.84
636,ASC-H,17935,0.0264,0.63
637,ASC-H,18571,0.0211,0.95
638,ASC-H,9838,0.0246,0.56
639,ASC-H,17024,0.0141,1.47
640,ASC-H,18258,0.0167,1.39
641,ASC-H,21004,0.0185,0.74
642,ASC-H,22662,0.0113,1.18
643,ASC-H,8341,0.0384,1.81
644,ASC-H,21491,0.0144,0.99
645,ASC-H,1016,0.0652,1.26
646,ASC-H,22735,0.0173,1.34
647,ASC-H,16039,0.0302,1.3
648,ASC-H,21962,0.0316,0.7
649,ASC-H,1365,0.0356,1.15
650,ASC-H,18794,0.0243,1.47
651,ASC-H,21799,0.0213,0.36
652,ASC-H,15887,0.0264,0.4
653,ASC-H,29319,0.014,0.7
654,ASC-H,23794,0.0299,0.71
655,ASC-H,14508,0.0392,0.85
656,ASC-H,18084,0.0275,0.4
657,ASC-H,8933,0.0209,0.56
658,ASC-H,17502,0.0228,0.87
659,ASC-H,20482,0.018,0.66
660,ASC-H,30659,0.0205,0.71
661,ASC-H,35496,0.0289,0.26
662,ASC-H,30929,0.0127,0.57
663,ASC-H,32558,0.0166,0.41
664,ASC-H,23103,0.023,0.77
665,ASC-H,18090,0.0283,1.51
666,ASC-H,25717,0.0157,0.44
667,ASC-H,28586,0.0107,0.39
668,ASC-H,37339,0.0276,1.13
669,ASC-H,13663,0.0145,1.02
670,ASC-H,37667,0.0435,1.44
671,ASC-H,9186,0.0161,0.37
672,ASC-H,20110,0.0216,0.89
673,ASC-H,19588,0.0102,1.14
674,ASC-H,27139,0.0136,0.65
675,ASC-H,25686,0.0279,0.57
676,ASC-H,17940,0.0309,1.13
677,ASC-H,23514,0.0124,0.77
678,ASC-H,30878,0.0195,0.78
679,ASC-H,25131,0.0234,1.77
680,ASC-H,17632,0.0259,1.14
681,ASC-H,19754,0.0225,0.85
719,ASC-H,22860,0.0269,1.31
720,ASC-H,30832,0.0331,1.42
721,ASC-H,28465,0.0372,1.55
722,ASC-H,15482,0.051,1.51
730,ASC-H,8885,0.0123,1.42
731,ASC-H,19331,0.0377,2.01
732,ASC-H,16403,0.024,0.93
733,ASC-H,11930,0.0359,1.38
734,ASC-H,18701,0.0188,0.85
735,ASC-H,20442,0.0286,1.55
742,ASC-H,15781,0.0127,1.23
743,ASC-H,1058,0.0648,1.28
744,ASC-H,1863,0.067,0.17
745,ASC-H,11774,0.0124,0.64
746,ASC-H,3579,0.0514,0.92
747,ASC-H,1122,0.0716,0.75
748,ASC-H,5740,0.0191,0.78
749,ASC-H,10844,0.02,0.5
750,ASC-H,16715,0.0102,0.66
751,ASC-H,29283,0.0179,0.79
752,ASC-H,988,0.059,0.44
753,ASC-H,1192,0.0613,0.81
754,ASC-H,11442,0.0072,0.75
755,ASC-H,3201,0.06,1.64
756,ASC-H,2075,0.0685,0.86
757,ASC-H,1990,0.0691,0.85
763,ASC-H,12823,0.0115,0.62
7716,ASC-H,2934,0.0219,1.17
7717,ASC-H,6072,0.0174,1.23
7718,ASC-H,1022,0.0522,1.35
7727,ASC-H,12124,0.0182,0.65
7793,ASC-H,6890,0.0157,0.72
7826,ASC-H,3023,0.0363,2.53
7827,ASC-H,3455,0.0349,2.8
7950,ASC-H,19808,0.013,0.82
7980,ASC-H,1875,0.0663,1.07
8038,ASC-H,8701,0.0172,0.66
8039,ASC-H,1568,0.0447,1.29
804,ASC-H,947,0.0668,0.94
8040,ASC-H,16546,0.0122,0.76
8041,ASC-H,1252,0.0394,1.95
8042,ASC-H,1151,0.051,1.44
8043,ASC-H,925,0.0688,0.59
8044,ASC-H,12749,0.0066,1.41
8045,ASC-H,2162,0.0175,2.86
805,ASC-H,3412,0.0527,1.09
8054,ASC-H,6877,0.0187,0.71
8055,ASC-H,4481,0.0151,1.14
806,ASC-H,7271,0.0311,1.76
807,ASC-H,10516,0.0159,2.42
808,ASC-H,5702,0.027,1.69
809,ASC-H,2037,0.0552,0.8
810,ASC-H,1388,0.0669,0.57
811,ASC-H,1360,0.0469,1.62
8112,ASC-H,15761,0.0196,1.33
8113,ASC-H,15886,0.0125,0.91
8114,ASC-H,17921,0.0127,0.88
8115,ASC-H,11971,0.0106,1.39
8116,ASC-H,10353,0.0061,1.61
8117,ASC-H,3587,0.0184,2.52
8118,ASC-H,1242,0.0656,0.98
8119,ASC-H,3403,0.0207,2.08
812,ASC-H,9469,0.0142,2.53
8120,ASC-H,1811,0.0536,1.14
8121,ASC-H,3091,0.0254,0.84
8122,ASC-H,10778,0.0058,1.32
8125,ASC-H,13903,0.012,1.36
813,ASC-H,695,0.0645,1.36
8131,ASC-H,4830,0.015,1.52
8138,ASC-H,2452,0.0293,0.68
8139,ASC-H,9091,0.0143,1.26
8140,ASC-H,17340,0.0163,0.95
8141,ASC-H,11639,0.0138,1.13
8142,ASC-H,13562,0.0109,0.91
8143,ASC-H,10915,0.0094,1.57
8144,ASC-H,14253,0.008,1.28
8145,ASC-H,15943,0.0082,1.14
8146,ASC-H,16025,0.0079,1.06
8147,ASC-H,16630,0.0051,0.66
8148,ASC-H,18343,0.0078,0.4
8149,ASC-H,18684,0.024,0.65
815,ASC-H,6053,0.0262,7.25
8150,ASC-H,16167,0.0146,0.41
8151,ASC-H,14416,0.0095,0.54
8154,ASC-H,6043,0.0127,1.35
8156,ASC-H,10943,0.0265,2.36
8157,ASC-H,8404,0.0343,1.3
8158,ASC-H,10255,0.0285,1.98
8159,ASC-H,8829,0.0227,3.29
816,ASC-H,2288,0.068,0.85
8160,ASC-H,16293,0.0157,0.68
8161,ASC-H,14443,0.0101,1.84
817,ASC-H,19910,0.0233,1.14
818,ASC-H,3829,0.0507,0.6
8188,ASC-H,1148,0.0643,0.58
8189,ASC-H,1909,0.0697,0.52
819,ASC-H,3331,0.0623,0.7
8190,ASC-H,741,0.0398,0.6
8191,ASC-H,11601,0.0119,1.32
8192,ASC-H,2287,0.0308,0.96
820,ASC-H,11045,0.0263,0.85
821,ASC-H,2705,0.047,0.79
8216,ASC-H,1683,0.0629,1.46
8217,ASC-H,11883,0.0252,1.11
8218,ASC-H,714,0.067,1.02
8219,ASC-H,6739,0.0115,0.44
8220,ASC-H,5721,0.0218,1.52
8221,ASC-H,9156,0.028,2.11
8222,ASC-H,2341,0.039,2.8
8223,ASC-H,2485,0.0348,2.41
8224,ASC-H,6783,0.026,1.56
8225,ASC-H,14390,0.0227,1.22
834,ASC-H,18744,0.0316,1.13
835,ASC-H,15121,0.0312,0.91
836,ASC-H,11815,0.0221,0.64
837,ASC-H,16105,0.0165,0.73
838,ASC-H,19451,0.0174,0.44
839,ASC-H,23636,0.0181,0.89
840,ASC-H,22224,0.0203,1.25
841,ASC-H,22560,0.0301,1.35
842,ASC-H,25809,0.0097,0.59
843,ASC-H,18958,0.0199,1.53
844,ASC-H,18694,0.0212,2.28
845,ASC-H,28194,0.0253,1.39
846,ASC-H,32076,0.0133,0.72
847,ASC-H,30423,0.0275,0.92
848,ASC-H,38280,0.0319,0.83
849,ASC-H,29989,0.0127,0.85
850,ASC-H,26180,0.012,0.28
851,ASC-H,33252,0.0161,0.77
852,ASC-H,19979,0.0249,1.98
853,ASC-H,16785,0.016,1.7
854,ASC-H,11701,0.014,1.55
855,ASC-H,21259,0.0293,2.24
856,ASC-H,1513,0.0497,1.57
860,ASC-H,11040,0.0155,0.96
861,ASC-H,10097,0.011,0.69
862,ASC-H,19805,0.0167,0.69
863,ASC-H,12916,0.0269,0.77
864,ASC-H,29288,0.0177,0.72
865,ASC-H,23981,0.0092,0.66
866,ASC-H,29943,0.0111,0.82
867,ASC-H,31299,0.0195,0.52
868,ASC-H,32047,0.013,0.96
869,ASC-H,31809,0.0167,0.95
870,ASC-H,21095,0.0146,0.87
871,ASC-H,24909,0.0242,0.75
872,ASC-H,22358,0.0117,0.54
873,ASC-H,16188,0.0135,0.92
874,ASC-H,22180,0.0212,0.64
875,ASC-H,24705,0.03,0.59
876,ASC-H,29358,0.0291,1.22
877,ASC-H,33899,0.0255,0.59
878,ASC-H,33806,0.016,0.4
879,ASC-H,29533,0.0115,0.75
880,ASC-H,34660,0.0359,1.36
881,ASC-H,27711,0.0289,1.59
882,ASC-H,32636,0.0342,1.52
883,ASC-H,25225,0.026,0.84
884,ASC-H,30178,0.0327,1.8
885,ASC-H,36952,0.0368,2.67
886,ASC-H,36385,0.037,1.49
887,ASC-H,35783,0.0205,0.33
888,ASC-H,28287,0.0104,0.7
889,ASC-H,35704,0.0236,1.02
890,ASC-H,19073,0.031,1.35
891,ASC-H,27014,0.0118,0.89
892,ASC-H,22660,0.023,1.71
893,ASC-H,15965,0.0265,1.2
894,ASC-H,23311,0.0235,1.12
895,ASC-H,25296,0.0279,1.07
896,ASC-H,23340,0.0359,3.22
897,ASC-H,18225,0.0155,0.76
898,ASC-H,21959,0.0209,0.97
899,ASC-H,13513,0.011,1.79
900,ASC-H,8883,0.0126,1.95
901,ASC-H,5273,0.0183,2.37
902,ASC-H,5273,0.0183,2.37
903,ASC-H,2473,0.0466,1.05
904,ASC-H,3146,0.0299,1.86
905,ASC-H,14610,0.0104,0.81
906,ASC-H,16221,0.0167,1.44
907,ASC-H,6206,0.0097,2.49
9071,ASC-H,2830,0.0184,2.95
9072,ASC-H,2697,0.0204,2.64
9073,ASC-H,15573,0.0386,0.94
9074,ASC-H,7854,0.0237,1.05
9075,ASC-H,24026,0.0443,1.48
9076,ASC-H,30438,0.0299,0.74
9077,ASC-H,31023,0.0225,0.71
9078,ASC-H,18476,0.0249,2.24
9079,ASC-H,31199,0.0266,0.94
908,ASC-H,11796,0.0128,2.01
9080,ASC-H,36524,0.0286,0.53
9081,ASC-H,35959,0.0416,0.87
9082,ASC-H,23831,0.0238,1.46
9083,ASC-H,22199,0.031,2.64
9084,ASC-H,30281,0.0265,1.34
9085,ASC-H,33616,0.025,0.78
9086,ASC-H,33678,0.0327,0.69
9087,ASC-H,19626,0.0155,1.76
9088,ASC-H,19743,0.0114,1.04
9089,ASC-H,21479,0.0115,0.93
909,ASC-H,1326,0.0526,1.68
9090,ASC-H,20959,0.0269,1.7
9091,ASC-H,21945,0.0106,0.92
9092,ASC-H,20571,0.01,1.22
9093,ASC-H,14010,0.0118,0.47
9094,ASC-H,13725,0.0098,0.75
9095,ASC-H,20618,0.0095,0.73
9096,ASC-H,22693,0.0142,0.37
9097,ASC-H,20784,0.0127,0.37
9098,ASC-H,23544,0.0265,0.66
9099,ASC-H,27003,0.0114,0.14
910,ASC-H,10031,0.0134,0.61
9100,ASC-H,25089,0.0081,0.46
9101,ASC-H,2000,0.054,0.97
9102,ASC-H,1301,0.0641,1.48
9103,ASC-H,16207,0.0114,1.02
9104,ASC-H,17227,0.0216,1.34
9105,ASC-H,14343,0.0112,1.15
9106,ASC-H,1684,0.0667,1.09
9107,ASC-H,23278,0.0293,1.12
9108,ASC-H,22656,0.0179,2.16
9109,ASC-H,23634,0.0177,1.17
9110,ASC-H,26202,0.0104,0.53
9111,ASC-H,27337,0.0129,0.69
9112,ASC-H,28787,0.0169,0.95
9113,ASC-H,13048,0.0418,1.05
9114,ASC-H,1299,0.0587,1.61
9115,ASC-H,20615,0.0085,1.16
9116,ASC-H,29527,0.0133,0.8
9117,ASC-H,18676,0.0151,1.12
9118,ASC-H,26085,0.033,0.81
9119,ASC-H,20666,0.0331,1.27
9120,ASC-H,31063,0.019,0.77
9121,ASC-H,22854,0.0166,0.41
9122,ASC-H,35863,0.0162,1.02
9123,ASC-H,36597,0.0281,0.87
9124,ASC-H,33492,0.0158,0.46
9125,ASC-H,25834,0.0147,0.66
9126,ASC-H,13124,0.0225,0.42
9127,ASC-H,37716,0.0248,0.41
9128,ASC-H,30356,0.0067,0.76
9129,ASC-H,36154,0.033,3.71
9130,ASC-H,21568,0.0172,0.96
9131,ASC-H,26778,0.0368,0.99
9132,ASC-H,21197,0.0325,2.08
9133,ASC-H,36509,0.0418,1.41
9134,ASC-H,6900,0.0222,0.93
9135,ASC-H,31223,0.0112,0.5
9136,ASC-H,7073,0.0227,0.84
9137,ASC-H,32867,0.013,0.37
9138,ASC-H,36505,0.0332,1.18
9139,ASC-H,20853,0.0077,0.67
9140,ASC-H,21462,0.0201,0.81
9141,ASC-H,10868,0.0125,0.65
9142,ASC-H,32264,0.0093,0.35
9143,ASC-H,33644,0.0423,0.77
9144,ASC-H,19079,0.0135,1.19
9145,ASC-H,21870,0.0279,1.01
9146,ASC-H,21950,0.0449,4.08
9147,ASC-H,31826,0.0391,3.05
9148,ASC-H,37317,0.0357,0.71
9149,ASC-H,34387,0.0261,0.87
9150,ASC-H,27251,0.0126,1.38
9151,ASC-H,22196,0.0226,2.69
9152,ASC-H,21733,0.0311,2.98
9153,ASC-H,22913,0.041,2.48
9154,ASC-H,32995,0.0162,0.82
9155,ASC-H,37498,0.0577,0.97
9156,ASC-H,33633,0.0268,1.49
9158,ASC-H,2123,0.0717,0.52
9159,ASC-H,3603,0.0324,3.16
9188,ASC-H,21526,0.0186,1.12
9189,ASC-H,28194,0.0185,1.09
9190,ASC-H,23539,0.0164,0.87
9191,ASC-H,26896,0.0411,0.77
9192,ASC-H,27823,0.0299,0.4
9193,ASC-H,31184,0.0179,0.49
9194,ASC-H,31883,0.0137,0.93
9195,ASC-H,31809,0.0139,0.87
9196,ASC-H,22576,0.055,2.23
9197,ASC-H,31726,0.0429,1.35
9198,ASC-H,36717,0.056,1.09
9199,ASC-H,36477,0.0412,0.39
9200,ASC-H,19270,0.0079,1.08
9201,ASC-H,17347,0.0071,1.03
9202,ASC-H,35475,0.0172,0.71
9203,ASC-H,35541,0.045,0.46
9204,ASC-H,32575,0.0348,1.26
9205,ASC-H,29142,0.0318,1.94
9206,ASC-H,37084,0.05,2.26
9207,ASC-H,37132,0.0382,0.49
9208,ASC-H,39083,0.0584,3.12
9209,ASC-H,34031,0.0313,1.33
9210,ASC-H,29016,0.0246,0.97
9211,ASC-H,33215,0.0278,1.25
9212,ASC-H,32754,0.0375,1.22
9213,ASC-H,27755,0.0248,1.33
9214,ASC-H,24644,0.0179,1.91
9215,ASC-H,18280,0.0217,1.81
9216,ASC-H,28655,0.0301,1.29
9217,ASC-H,22361,0.0139,1.47
9218,ASC-H,32794,0.0111,0.33
9219,ASC-H,17311,0.0076,0.85
9220,ASC-H,16527,0.0094,1.3
9221,ASC-H,25310,0.0107,0.44
9222,ASC-H,35732,0.0356,1.4
9223,ASC-H,29466,0.0149,0.77
9224,ASC-H,25616,0.0164,1.24
9225,ASC-H,14645,0.0225,0.92
9226,ASC-H,30561,0.0439,0.56
9227,ASC-H,19256,0.0133,1.33
9228,ASC-H,24970,0.0177,1.02
9229,ASC-H,29147,0.0505,1.09
9230,ASC-H,39756,0.0606,1.56
9231,ASC-H,36555,0.0273,0.66
9232,ASC-H,24190,0.0115,0.81
9233,ASC-H,30445,0.0373,0.51
9234,ASC-H,22010,0.0347,1.22
9235,ASC-H,23795,0.0299,0.88
9236,ASC-H,16126,0.0446,1.17
9237,ASC-H,14297,0.0342,1.68
9238,ASC-H,10750,0.0318,2.15
9239,ASC-H,34879,0.0316,0.99
9240,ASC-H,22393,0.016,1.1
9241,ASC-H,19652,0.0199,1.27
9242,ASC-H,17214,0.0168,1.08
9243,ASC-H,13819,0.0271,2.47
9244,ASC-H,10342,0.0292,2.16
9245,ASC-H,8841,0.0332,1.94
9246,ASC-H,9533,0.0326,1.66
9247,ASC-H,5775,0.034,1.72
9320,ASC-H,9858,0.0139,1.85
936,ASC-H,5475,0.0245,0.99
937,ASC-H,6572,0.0245,1.28
938,ASC-H,2146,0.0623,0.95
939,ASC-H,10633,0.0239,1.36
940,ASC-H,10813,0.0273,1.22
941,ASC-H,4253,0.0522,1.17
942,ASC-H,4856,0.0345,1.1
943,ASC-H,10507,0.0213,1.65
944,ASC-H,14091,0.0273,1.17
945,ASC-H,12230,0.0235,0.4
946,ASC-H,15871,0.0294,0.88
947,ASC-H,8203,0.0183,0.7
9513,ASC-H,8767,0.0185,2.11
9514,ASC-H,7952,0.0308,1.68
9515,ASC-H,11261,0.0319,2.36
9516,ASC-H,8729,0.0215,1.76
9517,ASC-H,516,0.0691,0.6
9518,ASC-H,5464,0.0194,2.45
9519,ASC-H,15213,0.0195,1.95
9520,ASC-H,16289,0.0235,1.41
9521,ASC-H,16216,0.0252,0.76
9522,ASC-H,15605,0.02,1.12
9523,ASC-H,22782,0.0234,1.16
9524,ASC-H,15848,0.0114,1.01
9525,ASC-H,17241,0.0201,1.6
9526,ASC-H,19284,0.0167,2.1
9527,ASC-H,21625,0.0343,2.62
9528,ASC-H,22664,0.0117,0.85
9529,ASC-H,15391,0.0267,2.02
9530,ASC-H,26150,0.0378,1.54
9531,ASC-H,17698,0.0199,0.71
9532,ASC-H,18080,0.0115,0.91
9533,ASC-H,17890,0.03,2.81
9534,ASC-H,12927,0.0145,0.96
9535,ASC-H,1351,0.0579,1.54
9536,ASC-H,660,0.0726,0.68
9537,ASC-H,16523,0.0238,2.28
9538,ASC-H,20297,0.0231,1.04
9539,ASC-H,11244,0.0195,1.63
9540,ASC-H,12877,0.0164,3.24
9541,ASC-H,16195,0.0172,1.11
9542,ASC-H,11618,0.0113,1.29
9543,ASC-H,17730,0.0176,1.72
9544,ASC-H,14367,0.0272,1.87
9545,ASC-H,13859,0.0352,1.06
9546,ASC-H,18906,0.0308,1.02
9547,ASC-H,18961,0.0211,1.14
9548,ASC-H,16397,0.0217,1.39
9549,ASC-H,1885,0.0574,0.72
9550,ASC-H,17914,0.0283,1.59
9551,ASC-H,20615,0.0229,1.19
9552,ASC-H,876,0.0712,1.02
9553,ASC-H,7533,0.0198,1.91
9554,ASC-H,19322,0.0145,1.22
9555,ASC-H,827,0.0572,2.0
9556,ASC-H,22423,0.0211,1.66
9557,ASC-H,16443,0.0274,1.04
9558,ASC-H,22402,0.0197,1.49
9559,ASC-H,574,0.0648,1.63
9560,ASC-H,21551,0.0115,0.47
9561,ASC-H,22730,0.0469,1.67
9562,ASC-H,23461,0.0115,1.02
9563,ASC-H,26524,0.0149,0.81
9564,ASC-H,28168,0.0223,0.5
9565,ASC-H,36014,0.035,0.2
9566,ASC-H,34686,0.0404,0.67
9567,ASC-H,32967,0.0297,0.64
9568,ASC-H,30434,0.0263,1.01
9569,ASC-H,24279,0.0364,0.69
9571,ASC-H,9113,0.0425,5.38
9576,ASC-H,23529,0.0291,1.32
9577,ASC-H,25927,0.0164,0.62
9578,ASC-H,18005,0.022,1.44
9579,ASC-H,17900,0.0369,1.09
9580,ASC-H,16329,0.0379,1.17
9581,ASC-H,10385,0.0224,0.93
9582,ASC-H,25521,0.0417,1.42
9583,ASC-H,18968,0.0275,2.02
9584,ASC-H,26120,0.0315,1.56
9585,ASC-H,18381,0.0138,0.71
9586,ASC-H,21794,0.0442,1.9
9587,ASC-H,23967,0.0336,0.81
9588,ASC-H,18028,0.0519,0.91
9589,ASC-H,24651,0.0113,0.55
9590,ASC-H,19464,0.0399,1.8
9591,ASC-H,24149,0.0329,2.27
9592,ASC-H,30098,0.0436,2.4
9593,ASC-H,30266,0.0286,0.98
9594,ASC-H,11151,0.0248,1.29
9595,ASC-H,29048,0.0357,0.73
9596,ASC-H,23439,0.0286,1.05
9597,ASC-H,26552,0.0432,1.38
9598,ASC-H,22691,0.0115,0.69
9599,ASC-H,16365,0.0269,1.73
9600,ASC-H,4246,0.0225,1.68
9614,ASC-H,3917,0.0137,1.07
9615,ASC-H,5288,0.04,2.22
9616,ASC-H,1244,0.0578,1.89
9617,ASC-H,5622,0.0365,2.42
9618,ASC-H,7309,0.0241,1.2
9619,ASC-H,6668,0.0248,1.07
9620,ASC-H,1579,0.0621,0.7
9621,ASC-H,1309,0.0687,1.21
9622,ASC-H,3382,0.0368,1.95
9623,ASC-H,1281,0.069,0.96
9624,ASC-H,2675,0.0435,1.33
9625,ASC-H,12548,0.0106,1.06
9626,ASC-H,8597,0.0186,1.27
9627,ASC-H,1025,0.0643,0.93
9628,ASC-H,18146,0.0235,1.26
9629,ASC-H,9966,0.0293,1.42
9630,ASC-H,13166,0.0233,1.98
9631,ASC-H,13734,0.0173,1.69
9632,ASC-H,7204,0.0222,2.35
9633,ASC-H,1593,0.054,1.4
9634,ASC-H,4457,0.0134,1.56
